Date,Open,High,Low,Close,Adj Close,Volume
2023-08-03,31.930000,31.930000,30.410000,31.360001,31.247000,126700
2023-08-04,30.709999,31.709999,30.680000,31.120001,31.120001,45400
2023-08-07,31.170000,31.410000,31.000000,31.059999,31.059999,45800
2023-08-08,31.000000,31.170000,30.730000,31.100000,31.100000,66900
2023-08-09,31.120001,31.770000,31.049999,31.549999,31.549999,48900
2023-08-10,31.730000,31.799999,30.719999,30.959999,30.959999,42600
2023-08-11,31.080000,31.320000,30.340000,30.370001,30.370001,53100
2023-08-14,30.260000,30.379999,30.000000,30.340000,30.340000,27900
2023-08-15,30.250000,30.570000,29.950001,30.530001,30.530001,32200
2023-08-16,30.549999,30.750000,29.670000,29.879999,29.879999,75000
2023-08-17,29.950001,30.650000,29.950001,30.500000,30.500000,50800
2023-08-18,30.350000,30.969999,30.350000,30.430000,30.430000,71500
2023-08-21,30.480000,30.840000,30.299999,30.340000,30.340000,61100
2023-08-22,30.559999,31.090000,30.420000,30.639999,30.639999,43000
2023-08-23,30.549999,31.170000,30.480000,30.920000,30.920000,35600
2023-08-24,30.700001,30.889999,30.469999,30.650000,30.650000,34300
2023-08-25,30.709999,30.709999,30.150000,30.400000,30.400000,57700
2023-08-28,30.770000,31.170000,30.680000,30.990000,30.990000,57700
2023-08-29,30.750000,31.740000,30.559999,31.570000,31.570000,69400
2023-08-30,31.420000,31.879999,31.280001,31.320000,31.320000,37700
2023-08-31,31.379999,31.570000,30.770000,30.820000,30.820000,53400
2023-09-01,30.980000,31.469999,30.740000,30.879999,30.879999,32000
